INT3324,An ninh di động,3
EET3027,An toàn hiệu quả trong kỹ thuật năng lượng,2
INT3307E,An toàn và an ninh mạng,3
INT3307,An toàn và an ninh mạng,3
PES1070,Bài tập phát triển chung,1
AGT3015,Bảo vệ thực vật,3
PES1030,Bóng bàn,1
PES1015,Bóng chuyền,1
PES1017,Bóng chuyền hơi,1
PES1025,Bóng đá,1
PES1020,Bóng rổ,1
INT3121,Các chuyên đề trong Khoa học Máy tính,3
INT3506,Các hệ thống thương mại điện tử,3
EET2000,Các nguyên lý cơ bản trong hóa học,3
ELT3243,Các nguyên lý truyền thông,3
EMA3021E,Các phương pháp điều khiển tiên tiến,2
EMA3021,Các phương pháp điều khiển tiên tiến,2
EPN2001,Các phương pháp phân tích vật liệu,3
EPN2023,Các phương pháp toán lý,3
AGT2002,Các quá trình sinh học ở sinh vật,3
INT3318E,Các thiết bị mạng và môi trường truyền,3
INT3313E,Các vấn đề hiện đại của Truyền thông và Mạng máy tính,3
INT3011E,Các vấn đề hiện đại trong KHMT,3
AGT3024,Các vấn đề hiện đại trong công nghệ sinh học nông nghiệp,3
RBE3040,Các vấn đề hiện đại trong Kỹ thuật Robot,3
AER3014,Các vấn đề hiện đại trong Viễn thám và GIS,3
EMA3017,Cảm biến và cơ cấu chấp hành,2
CTE3027,Cấp thoát nước,2
PES1035,Cầu lông,1
INT2210,Cấu trúc dữ liệu và giải thuật,4
AGT2006,Chăn nuôi đại cương,3
PHI1002,Chủ nghĩa xã hội khoa học,2
INT3402E,Chương trình dịch,3
INT3414,Chuyên đề Công nghệ,3
ELT2028,Chuyên nghiệp trong công nghệ,2
EPN2054,Cơ - Nhiệt,3
CTE2010,Cơ học đất,3
EMA2037,Cơ học kỹ thuật,3
EMA2037E,Cơ học kỹ thuật,3
AER2005,Cơ học kỹ thuật cho Công nghệ Hàng không Vũ trụ,4
EMA2004,Cơ học môi trường liên tục,4
EMA2029,Cơ học môi trường liên tục,3
AER3037,Cơ học quỹ đạo bay,3
RBE3041,Cơ học vật liệu và kết cấu Robot,3
EMA2007,Cơ học vật rắn biến dạng,3
EET2003,Cơ sở công nghệ năng lượng,3
INT2211,Cơ sở dữ liệu,4
EMA2030,Cơ sở dữ liệu và GIS,2
ELT3207,Cơ sở đo lường và điều khiển số,3
EMA2033,Cơ sở thiết kế máy,4
EPN2024,Cơ sở vật lý của một số thiết bị y tế,3
INT3231E,Công nghệ Blockchain,4
EMA3004,Công nghệ CAD/CAM/CNC,2
EMA3005E,Công nghệ chế tạo máy,3
AGT3027,Công nghệ lên men và phát triển sinh phẩm,3
EET3013,Công nghệ năng lượng Hydro và pin nhiên liệu,2
INT2208E,Công nghệ phần mềm,3
INT2208,Công nghệ phần mềm,3
AGT3016,Công nghệ sau thu hoạch,3
AGT3030,Công nghệ sinh học nấm ăn nấm dược liệu và vi tảo,3
AGT3020,Công nghệ sinh học phân tử,3
AGT3022,Công nghệ tế bào động và thực vật,3
EMA3022,Dòng chảy hai pha,2
EMA3023,Dòng chảy trong môi trường rỗng,2
INT3509,Dự án,4
INT3132,Dự án công nghệ,3
INT3315,Dự án Mạng máy tính và truyền thông dữ liệu,4
AER4001,Dự án thực tế,5
MAT1093,Đại số,4
PES1003,Điền kinh,1
INT3319,Điện toán đám mây,3
EMA3132,Điện tử công suất,3
EMA3065,Điện tử công suất,2
ELT2041E,Điện tử số,3
ELT2040,Điện tử tương tự,3
EMA3063,Điều khiển kết cấu,2
EMA3062E,Điều khiển PLC,3
RBE3014,Điều khiển tự động,3
RBE3021,Đồ án 1: Thiết kế và xây dựng Robot,1
CTE4001,Đồ án 1: Tính toán sức bền vật liệu và Kết cấu,2
CTE4007,Đồ án 2: Nền và móng,2
CTE4009,Đồ án 4: Thực tập kỹ thuật - đồ án thiết kế trong xây dựng dân dụng và công nghiệp,2
EET3028,Đồ án học phần An toàn hiệu quả trong kỹ thuật năng lượng,2
EET3014,Đồ án học phần Công nghệ năng lượng Hydro và pin nhiên liệu,2
EET3016,Đồ án học phần Hệ thống đồng phát và thu hồi nhiệt xả thải,2
EET3026,Đồ án học phần Kiểm soát ô nhiễm trong các ngành năng lượng,2
EET3030,Đồ án học phần Kinh tế và chính sách năng lượng,2
EET3018,Đồ án học phần Tích trữ và biến đổi các nguồn năng lượng mới,2
ELT4068,Đồ án tốt nghiệp,10
INT4054,Đồ án tốt nghiệp,10
INT4055,Đồ án tốt nghiệp,10
AER4050,Đồ án tốt nghiệp,10
RBE4001,Đồ án tốt nghiệp,10
EET4000,Đồ án tốt nghiệp,10
EMA4003,Đồ án: Thiết kế hệ thống điều khiển trong Công nghiệp,4
EMA4004,Đồ án: Thiết kế hệ thống đo lường tự động trong Công nghiệp,4
INT3403,Đồ họa máy tính,3
EET2012,Đo lường và tự động hóa các hệ thống năng lượng,2
AER3002,Động học hệ thống và dao động,3
RBE2003,Động học và động lực học,3
MAT1041,Giải tích,4
MAT1042,Giải tích 2, 
MAT1042#,Giải tích 2, 
PES1080,Golf,1
INT3202,Hệ quản trị cơ sở dữ liệu,3
INT3202E,Hệ quản trị cơ sở dữ liệu,3
EMA3083,Hệ thống cơ điện tử,3
AER3003,Hệ thống đẩy,3
